id,dimension,question,choice_a,choice_b,choice_c,choice_d,score_a,score_b,score_c,score_d
q1,"Code Generation & Accuracy","Code Generation Baseline: How frequently do you or your team use AI to generate code (functions, classes, or modules)?","Rarely or Never: We primarily write code manually or use traditional snippets/templates.","Occasionally: We experiment with AI suggestions but don't rely on them regularly.","Frequently: AI-generated code is used for many routine tasks or boilerplate sections.","Extensively: AI is our primary method for initial code generation across most features.",1,2,3,4
q2,"Code Generation & Accuracy","Review Loop & Accuracy: When AI generates a significant block of code, how much manual 'fixing' is typically required?","Heavy Intervention: I rarely use the output as-is; it usually requires significant manual rewriting to make it functional or compliant.","Iterative Prompting: The first output is often a 'hallucination' or slightly off, requiring 2-3 follow-up prompts to get the desired result.","Minor Polishing: The output is 80-90% correct; I usually just need to fix variable names or minor logic to match our project style.","Near-Seamless Acceptance: The output is almost always correct and ready for PR after a quick validation, requiring little to no manual code changes.",1,2,3,4
q3,"Code Generation & Accuracy","Context Awareness: How well does the AI understand your existing codebase when generating new code?","Limited Context: AI suggestions often don't align with our architecture, naming conventions, or patterns.","Basic Understanding: AI catches some patterns but frequently misses project-specific conventions.","Good Integration: AI suggestions usually match our coding style and architectural patterns.","Excellent Alignment: AI consistently generates code that feels native to our codebase, including edge cases.",1,2,3,4
q4,"Code Generation & Accuracy","Complex Logic Handling: How effective is AI at generating complex business logic or algorithms?","Not Suitable: We avoid using AI for anything beyond simple CRUD operations.","Limited Success: AI can handle simple logic but struggles with complex business rules.","Moderately Effective: AI can generate complex logic with some guidance and iteration.","Highly Capable: AI reliably generates sophisticated algorithms and business logic correctly.",1,2,3,4
q5,"Testing & Quality Assurance","Test Generation: How extensively do you use AI to generate unit tests, integration tests, or test cases?","Not at All: We write all tests manually without AI assistance.","Experimental: We've tried AI-generated tests but don't use them in production.","Regular Use: AI generates many of our tests, which we review and refine.","Primary Method: AI-generated tests form the foundation of our test suite with minimal manual additions.",1,2,3,4
q6,"Testing & Quality Assurance","Test Coverage Quality: How comprehensive and effective are AI-generated tests?","Poor Coverage: AI tests miss critical edge cases and scenarios.","Basic Coverage: AI covers happy paths but requires manual additions for edge cases.","Good Coverage: AI generates thorough tests with most edge cases covered.","Excellent Coverage: AI-generated tests are comprehensive and catch issues we might have missed.",1,2,3,4
q7,"Testing & Quality Assurance","Bug Detection: How effective is AI at identifying and fixing bugs in existing code?","Not Useful: We don't use AI for bug detection or fixing.","Occasional Help: AI sometimes spots obvious issues but misses subtle bugs.","Valuable Tool: AI regularly identifies bugs and suggests fixes that work with minor adjustments.","Critical Asset: AI catches bugs earlier and more reliably than manual reviews alone.",1,2,3,4
q8,"Testing & Quality Assurance","Code Review Assistance: How much does AI contribute to your code review process?","No AI Involvement: Code reviews are entirely manual.","Basic Linting: AI provides style and syntax checks only.","Substantive Input: AI flags logic issues, security concerns, and suggests improvements.","Integrated Partner: AI reviews are a standard part of our process, catching issues before human review.",1,2,3,4
q9,"Testing & Quality Assurance","Security Analysis: How does AI help identify security vulnerabilities?","Not Used: We rely on traditional security scanning tools only.","Supplementary: AI provides additional security insights but isn't relied upon.","Important Layer: AI security analysis is part of our standard workflow.","Primary Scanner: AI is our first line of defense for identifying security issues.",1,2,3,4
q10,"Documentation & Knowledge","Code Documentation: How do you use AI to generate code comments and documentation?","Manual Only: All documentation is written manually without AI assistance.","Basic Summaries: AI generates simple function descriptions that we heavily edit.","Standard Practice: AI generates comprehensive documentation that needs minor refinement.","Automated Pipeline: AI documentation is generated automatically and rarely requires changes.",1,2,3,4
q11,"Documentation & Knowledge","Knowledge Base Creation: How does AI help with creating or maintaining technical documentation?","Not Applicable: We don't use AI for documentation beyond code comments.","Draft Generation: AI creates initial drafts that we substantially rewrite.","Collaborative Tool: AI-generated docs form a solid foundation with some editing.","Primary Author: AI generates comprehensive documentation that's production-ready.",1,2,3,4
q12,"Documentation & Knowledge","Code Explanation: How effectively can AI explain complex code to team members?","Not Used: Team members explain code to each other directly.","Basic Help: AI provides surface-level explanations that miss important details.","Helpful Resource: AI explanations are accurate and help team members understand code.","Expert Tutor: AI provides insightful explanations that enhance team understanding significantly.",1,2,3,4
q13,"Documentation & Knowledge","API Documentation: How does AI assist in generating and maintaining API documentation?","Manual Process: All API docs are written and maintained manually.","Template Generation: AI creates basic API doc templates we fill in.","Automated Generation: AI generates comprehensive API docs from code with minor edits.","Fully Integrated: API documentation is automatically generated and synced with code changes.",1,2,3,4
q14,"Workflow & Productivity","Development Speed: How has AI affected your overall development velocity?","No Impact: Development speed remains unchanged with AI tools.","Marginal Improvement: Slight speed increase (5-15%) in specific tasks only.","Significant Boost: 20-40% faster development across most features.","Transformative: 50%+ productivity gain, fundamentally changed our development process.",1,2,3,4
q15,"Workflow & Productivity","Learning Curve: How easy was it for your team to adopt AI coding tools?","Very Difficult: Significant training and adjustment period required.","Moderate Challenge: Took several weeks for team to become comfortable.","Relatively Easy: Most team members were productive within days.","Seamless: Team adapted immediately with minimal friction.",1,2,3,4
q16,"Workflow & Productivity","Refactoring Support: How does AI help with code refactoring and modernization?","Not Reliable: We avoid using AI for refactoring due to consistency concerns.","Limited Help: AI can handle simple refactoring but not architectural changes.","Effective Tool: AI successfully handles most refactoring tasks with guidance.","Powerful Accelerator: AI executes complex refactoring across entire codebases reliably.",1,2,3,4
q17,"Workflow & Productivity","Cross-Language Support: How well does AI handle multiple programming languages in your stack?","Single Language Focus: AI only works well with our primary language.","Variable Quality: AI performance varies significantly across languages.","Consistent Support: AI handles all our languages reasonably well.","Polyglot Expert: AI excels across all languages and frameworks we use.",1,2,3,4
q18,"Workflow & Productivity","Team Collaboration: How has AI impacted collaboration and knowledge sharing?","Negative Impact: AI has created inconsistency or reduced knowledge sharing.","Neutral: No significant change in collaboration patterns.","Positive Effect: AI helps standardize practices and share knowledge more effectively.","Transformative: AI has fundamentally improved how our team collaborates and learns.",1,2,3,4
q19,"Workflow & Productivity","Future Outlook: What are your expectations for AI in development over the next year?","Skeptical: We don't expect AI to significantly change our workflow.","Cautiously Optimistic: We'll continue experimenting but with limited expectations.","Confident: We plan to expand AI usage into more areas of development.","Fully Committed: AI will be central to our development strategy going forward.",1,2,3,4
